COURSE_CODE, CREDITS, SEMESTERS, TA,GROUPCODE,TACODE,PASSWORD
6871,3,1,2,12345,54321,110
6871,1.5,2,1,12345,54321,110
6871,1.5,1,0,12345,54321,110
6883,3,2,1,12345,54321,110
7241,1.5,1,1,12345,54321,110
7773,3,2,0,12345,54321,110
5350,1.5,1,1,12345,54321,110
6871,3,1,2,12345,54321,110
6871,1.5,2,1,12345,54321,110
6871,1.5,1,0,12345,54321,110
6883,3,2,1,12345,54321,110
7241,1.5,1,1,12345,54321,110
7773,3,2,0,12345,54321,110
5350,1.5,1,1,12345,54321,110
6871,3,1,2,12345,54321,110
6871,1.5,2,1,12345,54321,110
6871,1.5,1,0,12345,54321,110
6883,3,2,1,12345,54321,110
7241,1.5,1,1,12345,54321,110
7773,3,2,0,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
5350,1.5,1,1,12345,54321,110
